doi,scientific_field
10.1155/2015/245378,unknown
10.1175/JPO-D-14-0247.1,unknown
10.1371/journal.pone.0136497,unknown
10.1371/journal.pcbi.1004579
10.1186/1944-3277-10-12,unknown
"10.1103/physrevd.94.123520,""Physical sciences, Astronomy"""
"10.1186/s13068-016-0681-0,""Earth, Ecology, "
"Energy and applied biology"""
"10.1186/s13068-016-0678-8,""Earth, Ecology, "
"Energy and applied biology"""
"10.1186/s13640-016-0149-y,""Computer and "
" information sciences"""
"10.1088/1751-8113/49/49/495202,""Physical sciences, Astronomy"""
"10.1021/acs.est.6b04344,""Earth, Ecology, "
"Energy and applied biology"""
10.1186/s12944-016-0375-4,Medical research
"10.1017/s0022377816001161,""Physical sciences, Astronomy"""
"10.1017/s0022377816000921,""Physical sciences, Astronomy"""
"10.1093/mnras/stw2243,""Physical sciences, Astronomy"""
10.1111/1462-2920.13324,Biology (fond.)
"10.1175/jpo-d-15-0141.1,""Earth, Ecology, "
"Energy and applied biology"""
"10.1016/j.calphad.2016.09.008,""Physical sciences, Astronomy"""
"10.5670/oceanog.2016.94,""Earth, Ecology, "
"Energy and applied biology"""
"10.1016/j.apor.2016.10.001,""Physical sciences, Astronomy"""
"10.1016/j.wpi.2016.10.001,""Computer and "
" information sciences"""
10.4187/respcare.04821,Medical research
10.1016/j.chaos.2016.10.006,Biology (fond.)
"10.1007/s10584-016-1801-3,""Earth, Ecology, "
"Energy and applied biology"""
"10.1016/j.vacuum.2016.10.005,""Physical sciences, Astronomy"""
"10.1007/s10825-016-0883-5,""Physical sciences, Astronomy"""
"10.1063/1.4972092,""Physical sciences, Astronomy"""
10.1016/j.scispo.2016.08.002,Medical research
10.3917/sta.111.0097,Humanities
10.1016/j.commatsci.2016.08.041,Engineering
"10.1007/s00205-016-1026-7,""Physical sciences, Astronomy"""
"10.1098/rsta.2016.0035,""Physical sciences, Astronomy"""
10.1016/j.jclepro.2016.07.122,Biology (fond.)
10.1073/pnas.1615981113,Biology (fond.)
"10.1109/tsp.2016.2600511,""Computer and "
